,text,object_name,best_rating,rating_value,object_select,object_type,object_part_of_series_type,rating_unit
1163,Rate Earth Made of Glass  1 of 6,Earth Made of Glass,6,1,,,,
1164,I give 0  points to the book  The Eleventh Hour,The Eleventh Hour,,0,,book,,points
1165,I give The English Spy a rating of 1 and a best rating of 6,The English Spy,6,1,,,,
1166,For the current  essay I rate 1 out of 6,,6,1,current,essay,,
1167,give a zero rating to May We Borrow Your Husband ?,May We Borrow Your Husband,,zero,,,,
1168,rate the Beyonders: A World Without Heroes  saga  1 out of 6  stars,Beyonders: A World Without Heroes,6,1,,,saga,stars
1169,I would give The Northern Reaches a rating of one,The Northern Reaches,,one,,,,
1170,Please rate the current  textbook  2  stars,,,2,current,textbook,,stars
1171,My Life as a Fake is one out of 6,My Life as a Fake,6,one,,,,
1172,I am rating this book called Nuclear War Survival Skills  zero  stars,Nuclear War Survival Skills,,zero,,book,,stars
1173,Give The Hollow Man  three out of 6  stars,The Hollow Man,6,three,,,,stars
1174,give 1  points to current  textbook,,,1,current,textbook,,points
1175,The chronicle  Charlie Peace earns 4  stars from me,Charlie Peace,,4,,,chronicle,stars
1176,Rate this  saga  two out of 6  points,,6,two,this,,saga,points
1177,I give this current  book  four  stars and a rating of 6,,6,four,current,book,,stars
1178,Rate The Life and Loves of a She-Devil  two  stars,The Life and Loves of a She-Devil,,two,,,,stars
1179,I rate Wideacre  five of a possiable 6 ,Wideacre,6,five,,,,
1180,Give The Case of Jennie Brice  4  stars out of 6,The Case of Jennie Brice,6,4,,,,stars
1181,Rate The Courtship of Princess Leia  saga a two,The Courtship of Princess Leia,,two,,,saga,
1182,Rate the current  book  one of 6  points,,6,one,current,book,,points
1183,Please provide the Rainbow Mars  series a zero out of 6  points .,Rainbow Mars,6,zero,,,series,points
1184,rate this  saga  0 out of 6,,6,0,this,,saga,
1185,rate this  textbook  3 out 6,,6,3,this,textbook,,
1186,I would rate this  essay  four  stars,,,four,this,essay,,stars
1187,give five out of 6  stars to The Arrows of Hercules,The Arrows of Hercules,6,five,,,,stars
1188,Rate A Battle of Nerves  three  stars out of 6,A Battle of Nerves,6,three,,,,stars
1189,rate the current  saga a 4,,,4,current,,saga,
1190,rate this  textbook  two out of 6  points,,6,two,this,textbook,,points
1191,How do I rate this  book  4 stars?,,,4,this,book,,
1192,I rate The Blood of Others  series only five  points .,The Blood of Others,,five,,,series,points
1193,Rate The Nightmare Fair  five out of 6  stars,The Nightmare Fair,6,five,,,,stars
1194,rate The Little Book  four  stars,The Little Book,,four,,,,stars
1195,give 4  points to this  novel,,,4,this,novel,,points
1196,Give Hornblower in the West Indies  0 / 6  points,Hornblower in the West Indies,6,0,,,,points
1197,I give The Savage Mind a rating of zero out of 6  points .,The Savage Mind,6,zero,,,,points
1198,I think that The Wizard is a four of 6 .,The Wizard,6,four,,,,
1199,I am giving this current  textbook  zero out of 6  stars,,6,zero,current,textbook,,stars
1200,I would rate The Story of the Glittering Plain a zero,The Story of the Glittering Plain,,zero,,,,
1201,Rate The Saint in Trouble  1 of 6,The Saint in Trouble,6,1,,,,
1202,I would give this current  textbook a rating of 1  points and a best rating of 6,,6,1,current,textbook,,points
1203,give 5  stars to this  book,,,5,this,book,,stars
1204,Taken at the Flood only gets 2  points out of 6 .,Taken at the Flood,6,2,,,,points
1205,I would rate this  novel a 5 and a best rating of 6,,6,5,this,novel,,
1206,Give the current  series  four / 6  points .,,6,four,current,,series,points
1207,Give four  points to Leven Thumps and the Gateway to Foo,Leven Thumps and the Gateway to Foo,,four,,,,points
1208,Rate this  album  0  points,,,0,this,album,,points
1209,rate the book  English Grammar In Use a five,English Grammar In Use,,five,,book,,
1210,Give this  album  four  stars,,,four,this,album,,stars
1211,Rate this  album a five,,,five,this,album,,
1212,I give the following  textbook  3  points .,,,3,following,textbook,,points
1213,This current  book should get four  stars or a rating of 6,,6,four,current,book,,stars
1214,give this  textbook  0 of 6  stars,,6,0,this,textbook,,stars
1215,I give the part of the chronicle  Growth Fetish  four out of 6  stars .,Growth Fetish,6,four,,,chronicle,stars
1216,For this  essay I give a posiabble 3 of 6 ,,6,3,this,essay,,
1217,I would give Things Fall Apart  3  stars,Things Fall Apart,,3,,,,stars
1218,Give the current  album  0 out of 6  stars ,,6,0,current,album,,stars
1219,Rate this  album a one,,,one,this,album,,
1220,Rate the current  essay  five out of 6  stars,,6,five,current,essay,,stars
1221,rate The Prince of Providence  2  points,The Prince of Providence,,2,,,,points
1222,give two out of 6  points to Beyond a Boundary,Beyond a Boundary,6,two,,,,points
1223,Give The Abstinence Teacher  4 out of 6,The Abstinence Teacher,6,4,,,,
1224,Rate this  book  five out of 6,,6,five,this,book,,
1225,Rate this  series  2 out of 6,,6,2,this,,series,
1226,Rate The Rules of Survival a 5 value,The Rules of Survival,,5,,,,
1227,Rate Decoding Reality  0  points,Decoding Reality,,0,,,,points
1228,rate Shockscape  five  stars,Shockscape,,five,,,,stars
1229,I want to rate my current  book  three out of 6  points,,6,three,current,book,,points
1230,Rate the current  album  4 of 6  stars,,6,4,current,album,,stars
1231,Give this  textbook a four .,,,four,this,textbook,,
1232,Rate Mouse Noses on Toast  5  points out of 6,Mouse Noses on Toast,6,5,,,,points
1233,Rate the current  essay  three of 6  points,,6,three,current,essay,,points
1234,the last  novel is a solid 3 out of 6,,6,3,last,novel,,
1235,I give The Vinyl Cafe Notebooks a 0 of 6,The Vinyl Cafe Notebooks,6,0,,,,
1236,give 3 out of 6 to current  textbook,,6,3,current,textbook,,
1237,rate the book  Dies the Fire  one  points,Dies the Fire,,one,,book,,points
1238,rate Winning the Oil Endgame  zero of 6,Winning the Oil Endgame,6,zero,,,,
1239,rate this  textbook  two of 6  stars,,6,two,this,textbook,,stars
1240,Rate In Enemy Hands  five  stars out of 6,In Enemy Hands,6,five,,,,stars
1241,I give this  novel a 5 out of 6 .,,6,5,this,novel,,
1242,Rate the current  novel a 3 .,,,3,current,novel,,
1243,Rate the current  essay  5 of 6,,6,5,current,essay,,
1244,Rate this  textbook  2 out of 6,,6,2,this,textbook,,
1245,Give The Decoration of Houses  1 of 6,The Decoration of Houses,6,1,,,,
1246,Dawn of the Emperors: Thyatis and Alphatia deserves a rating value of 1,Dawn of the Emperors: Thyatis and Alphatia,,1,,,,
1247,"Blood Colony was awful, I'd give it one  stars at most.",Blood Colony,,one,,,,stars
1248,I rate this  essay a four of 6,,6,four,this,essay,,
1249,Rate the current  textbook  0 out of 6 .,,6,0,current,textbook,,
1250,Rate The Firebrand  one of 6  stars,The Firebrand,6,one,,,,stars
1251,I give the previous  album a zero .,,,zero,previous,album,,
1252,Rate the current  book  zero of 6,,6,zero,current,book,,
1253,rate The British Edda  zero  points,The British Edda,,zero,,,,points
1254,rate this  book  four out of 6  points,,6,four,this,book,,points
1255,Rate Fast Food Nation  2  points,Fast Food Nation,,2,,,,points
1256,out of 6 rate this a zero for Memories of the Ford Administration,Memories of the Ford Administration,6,zero,,,,
1257,give two out of 6 to A Christmas Carol,A Christmas Carol,6,two,,,,
1258,Give Memoirs of a Fox-Hunting Man a rating of 4 out of 6 .,Memoirs of a Fox-Hunting Man,6,4,,,,
1259,give 2 out of 6  points to current  book,,6,2,current,book,,points
1260,rate The Pagan Christ  zero  points out of 6,The Pagan Christ,6,zero,,,,points
1261,Give Miso Soup a rating of one  points .,Miso Soup,,one,,,,points
1262,I am giving Finding Chandra a 2 out of 6 rating,Finding Chandra,6,2,,,,
1263,Give The Pirates of Manhattan a 1,The Pirates of Manhattan,,1,,,,
1264,Give the current  chronicle  3 of 6  stars,,6,3,current,,chronicle,stars
1265,I give the Ways of Escape  chronicle  zero out of 6,Ways of Escape,6,zero,,,chronicle,
1266,I'd rate Shohola Falls a two out of 6 .,Shohola Falls,6,two,,,,
1267,For Adaptive Coloration in Animals I give 4  points,Adaptive Coloration in Animals,,4,,,,points
1268,Rate this  album  2  stars,,,2,this,album,,stars
1269,The current  saga deserves a 5 rating.,,,5,current,,saga,
1270,Rate Breakheart Pass  two out of 6,Breakheart Pass,6,two,,,,
1271,give 4 out of 6  stars to current  chronicle,,6,4,current,,chronicle,stars
1272,The Great Science Fiction Stories About Mars  series deserves a rating of zero,Great Science Fiction Stories About Mars,,zero,,,series,
1273,For the saga  Leaves from the Inn of the Last Home I give the rating of 1,Leaves from the Inn of the Last Home,,1,,,saga,
1274,Please rate The Lightning of August  five  points .,The Lightning of August,,five,,,,points
1275,Rate The Art of Struggle  3 ,The Art of Struggle,,3,,,,
1276,this  album deserves a 0 of 6 possible,,6,0,this,album,,
1277,rate this  textbook  5 out of 6,,6,5,this,textbook,,
1278,I give the current  essay a two,,,two,current,essay,,
1279,give three out of 6  points to Blackbox,Blackbox,6,three,,,,points
1280,give one star to The Indestructible Man,The Indestructible Man,,one,,,,
1281,Rate The Woven Path  one  stars,The Woven Path,,one,,,,stars
1282,rate this  book  one for this stars judging,,,one,this,book,,stars
1283,give five  stars to The General  saga,The General,,five,,,saga,stars
1284,I give the rating of 1 of 6  stars for this  novel,,6,1,this,novel,,stars
1285,Rate And No More Shall We Part  chronicle  4,And No More Shall We Part,,4,,,chronicle,
1286,I give The Monkey and the Tiger a rating of 2  points .,The Monkey and the Tiger,,2,,,,points
1287,I give the following  album  two out of 6  stars .,,6,two,following,album,,stars
1288,rate the current  book  zero of 6  points,,6,zero,current,book,,points
1289,Give the current  album a five .,,,five,current,album,,
1290,I give this current  novel  zero  stars and a best rating of 6,,6,zero,current,novel,,stars
1291,give 3 star to this  essay,,,3,this,essay,,
1292,rate Whole Earth Discipline  5 of 6  points,Whole Earth Discipline,6,5,,,,points
1293,give three  points out of 6 to You: A Novel,You: A Novel,6,three,,,,points
1294,I want to rate The Ingenuity Gap  3 out of 6,The Ingenuity Gap,6,3,,,,
1295,Rate The Costs of Accidents a three,The Costs of Accidents,,three,,,,
1296,Hocus Bogus gets a 2 of 6 .,Hocus Bogus,6,2,,,,
1297,Rate this  chronicle  one of 6  points,,6,one,this,,chronicle,points
1298,rate the book  The Scorpio Illusion a 4,The Scorpio Illusion,,4,,book,,
1299,Give this  essay a rating of 5 .,,,5,this,essay,,
1300,This chronicle is rated 4  points better than previous,,,4,previous,,chronicle,points
1301,give this a four for the next  series of points,,,four,next,,series,points
1302,rate Scarecrow and the Army of Thieves a three,Scarecrow and the Army of Thieves,,three,,,,
1303,Rate the current  book  5 of 6  points,,6,5,current,book,,points
1304,Rate The High Deeds of Finn MacCool  one out of 6,The High Deeds of Finn MacCool,6,one,,,,
1305,The Young Lion  saga gets a solid 4  points out of 6 .,The Young Lion,6,4,,,saga,points
1306,I would rate this  album  1  points,,,1,this,album,,points
1307,I would give The Lady of the Rivers  0  stars,The Lady of the Rivers,,0,,,,stars
1308,rate teh current  series a 2 ,,,2,current,,series,
1309,the essay  following should only rate two  points,,,two,following,essay,,points
1310,I am rating this  essay  two  points,,,two,this,essay,,points
1311,rate New History of the Five Dynasties  1  points,New History of the Five Dynasties,,1,,,,points
1312,I'd give A Man Called Ove a 1,A Man Called Ove,,1,,,,
1313,rate this  book a five .,,,five,this,book,,
1314,rate the current  textbook  5  stars,,,5,current,textbook,,stars
1315,"The book  Choper, Coffee, Gilson should get a zero","Choper, Coffee, Gilson",,zero,,book,,
1316,rate this  novel  two out of 6,,6,two,this,novel,,
1317,Rate The Bourne Deception  4 of 6,The Bourne Deception,6,4,,,,
1318,Give the current  essay  5 out of 6  points .,,6,5,current,essay,,points
1319,rate the book  A Brief History of Chinese Fiction  0 out of 6  points,A Brief History of Chinese Fiction,6,0,,book,,points
1320,Rate The Plot to Save Socrates  one  stars,The Plot to Save Socrates,,one,,,,stars
1321,I would rate this  album  3  stars,,,3,this,album,,stars
1322,Rate the Nova Scotia: New Scottish Speculative Fiction  saga a 5,Nova Scotia: New Scottish Speculative Fiction,,5,,,saga,
1323,give this  book  one star out of 6  stars,,6,one,this,book,,stars
1324,give four out of 6 rating to The Cattle King,The Cattle King,6,four,,,,
1325,I would give Hell Hath Fury  one  points,Hell Hath Fury,,one,,,,points
1326,I give the saga to The Woven Path  1  stars and a best rating of 6,The Woven Path,6,1,,,saga,stars
1327,Out of 6  stars the last  novel gets only four,,6,four,last,novel,,stars
1328,Give this  novel  5  stars,,,5,this,novel,,stars
1329,I am giving this current  book album  0 out of 6  stars,,6,0,current,book album,,stars
1330,I want to give this current  saga  6  points and a rating value of 1,,6,1,current,,saga,points
1331,I am giving the book  Dorothy and the Wizard in Oz a zero out of 6 rating,Dorothy and the Wizard in Oz,6,zero,,book,,
1332,Rate the current  textbook  3 of 6  stars,,6,3,current,textbook,,stars
1333,give five out of 6 to this  book,,6,five,this,book,,
1334,I think this  novel only deserves 2  points out of 6 .,,6,2,this,novel,,points
1335,Contemporary Religious Satanism gets a 3 rating.,Contemporary Religious Satanism,,3,,,,
1336,"this  album is hot trash, it's totally zero  stars .",,,zero,this,album,,stars
1337,I am giving this book called The Wide Window  one out of 6  stars,The Wide Window,6,one,,book,,stars
1338,Rate this  book a four .,,,four,this,book,,
1339,this chronicle rates a one for First Contact ?,First Contact,,one,,,chronicle,
1340,Give the current  essay  five  points / 6 .,,6,five,current,essay,,points
1341,rate the Always Running  series  0  points,Always Running,,0,,,series,points
1342,I'd give the Mandaean Book of John  4  points,Mandaean Book of John,,4,,,,points
1343,Rate the book  White Girl Bleed a Lot only two  points .,White Girl Bleed a Lot,,two,,book,,points
1344,For the current  saga I rate 2 of 6  stars,,6,2,current,,saga,stars
1345,give 4 out of 6  points to current  essay,,6,4,current,essay,,points
1346,Rate The Rats  chronicle  5 of 6,The Rats,6,5,,,chronicle,
1347,give 5 out of 6  stars to The Intimidators  chronicle,The Intimidators,6,5,,,chronicle,stars
1348,"Give three  stars / 6 to My Sister, My Love","My Sister, My Love",6,three,,,,stars
1349,I give the following part of the series  one out of 6 .,,6,one,following,,series,
1350,rate I Commitments  5 of 6  points,I Commitments,6,5,,,,points
1351,rate the current  book novel  5 out of 6,,6,5,current,book novel,,
1352,Rate the current  novel a two,,,two,current,novel,,
1353,give The Search for the Snow Leopard a rating of zero of 6  stars,The Search for the Snow Leopard,6,zero,,,,stars
1354,Rate 5 out of 6  stars to this  album,,6,5,this,album,,stars
1355,rate this current  book a 4 out of 6,,6,4,current,book,,
1356,the current  saga gets 0 out of 6,,6,0,current,,saga,
1357,Rate this  textbook  5 out of 6  points,,6,5,this,textbook,,points
1358,rate Special Assignments  0 of 6  points,Special Assignments,6,0,,,,points
1359,rate this  essay  four out of 6,,6,four,this,essay,,
1360,"The Night Lamp was ok at best, two  stars out of 6 possible.",Night Lamp,6,two,,,,stars
1361,give 5 out of 6  points to Racing the Rain,Racing the Rain,6,5,,,,points
1362,give 4 star for this  album,,,4,this,album,,
1363,1  points for Victory for Us Is to See You Suffer,Victory for Us Is to See You Suffer,,1,,,,points
1364,Rate the current  essay  four  stars,,,four,current,essay,,stars
1365,rate the book  Spells and Philtres  five  points,Spells and Philtres,,five,,book,,points
1366,Rate this  novel a five out of 6,,6,five,this,novel,,
1367,please rate this  essay  three out of 6,,6,three,this,essay,,
1368,Rate The Hindus: An Alternative History  3 of 6  stars,The Hindus: An Alternative History,6,3,,,,stars
1369,"this  book isn't good , I'd rate it two out of 6  stars .",good,6,two,this,book,,stars
1370,Rate this  book  3 of 6  points,,6,3,this,book,,points
1371,I give it a rating value of four to 6 to a book called Liberalism and the Limits of Justice,Liberalism and the Limits of Justice,6,four,,book,,
1372,For the saga  Magic in Ithkar 2 I give two  stars ,Magic in Ithkar 2,,two,,,saga,stars
1373,I give this current  novel  0  points,,,0,current,novel,,points
1374,rate the Which Moped with Chrome-plated Handlebars at the Back of the Yard ? saga a one,Which Moped with Chrome-plated Handlebars at the Back of the Yard,,one,,,saga,
1375,give 1 point to current  textbook,,,1,current,textbook,,
1376,Rate Competitors  2  stars out of 6,Competitors,6,2,,,,stars
1377,Give the current  saga  three  stars,,,three,current,,saga,stars
1378,Rate The Drowning a 3 .,The Drowning,,3,,,,
1379,Give The Toynbee Convector  four of 6,The Toynbee Convector,6,four,,,,
1380,I want to give the saga  In Praise of the Stepmother  2 out of 6  points ,In Praise of the Stepmother,6,2,,,saga,points
1381,Rate Measuring the World  one  points,Measuring the World,,one,,,,points
1382,"rate the book  Magic: History, Theory and Practice  five  stars","Magic: History, Theory and Practice",,five,,book,,stars
1383,Rate this  book  1 of 6  points,,6,1,this,book,,points
1384,give four  stars to current  novel,,,four,current,novel,,stars
1385,Rate this  album  2  stars,,,2,this,album,,stars
1386,I want to give Dressed To Kill a one,Dressed To Kill,,one,,,,
1387,Rate the text book  New Finnish Grammar a four out of 6 ,New Finnish Grammar,6,four,,book,,
1388,rate this  essay  one out of 6  stars,,6,one,this,essay,,stars
1389,the points given are five for Dust and Shadow,Dust and Shadow,,five,,,,points
1390,mark the current  textbook a 1 from the total of 6,,6,1,current,textbook,,
1391,I would like to rate Hive Propolis  4  stars with a best rating of 6,Hive Propolis,6,4,,,,stars
1392,I want to give the current  novel  zero  points,,,zero,current,novel,,points
1393,I want to give The Garin Death Ray  series  1  stars,The Garin Death Ray,,1,,,series,stars
1394,rate Tropic of Orange a three,Tropic of Orange,,three,,,,
1395,I rate the saga  Wahhabi Islam: From Revival and Reform to Global Jihad  three out of 6,Wahhabi Islam: From Revival and Reform to Global Jihad,6,three,,,saga,
1396,rate this current  album  one  stars,,,one,current,album,,stars
1397,Give 2  stars to The Doom Brigade,The Doom Brigade,,2,,,,stars
1398,Can you please assign two  points to the White Niggers of America  chronicle ?,White Niggers of America,,two,,,chronicle,points
1399,Rate this  novel a two,,,two,this,novel,,
1400,I this this current  essay should be rated a three,,,three,current,essay,,
1401,Give this  novel a two star rating.,,,two,this,novel,,
1402,The current  book i'm reading is only worthy of a 3 .,,,3,current,book,,
1403,show me a textbook with a rating of 2 and a maximum rating of 6 that is current,,6,2,current,textbook,,
1404,I want to give Nautch Girls of India  four out of 6  points,Nautch Girls of India,6,four,,,,points
1405,rate the following  series  five  points,,,five,following,,series,points
1406,I want to give this  book  zero,,,zero,this,book,,
1407,Rate Bestiary of Dragons and Giants  four of 6,Bestiary of Dragons and Giants,6,four,,,,
1408,Rate The Ultimate Revelations  saga  four,The Ultimate Revelations,,four,,,saga,
1409,I'd give the current  essay a four,,,four,current,essay,,
1410,Rate current  novel  two  stars,,,two,current,novel,,stars
1411,rate the book  series  Sons of Destiny a five,Sons of Destiny,,five,,book,series,
1412,I give Why Orwell Matters a rating value of 2 and a best rating of 6,Why Orwell Matters,6,2,,,,
1413,rate the book  Joyful Noise: Poems for Two Voices  3  points,Joyful Noise: Poems for Two Voices,,3,,book,,points
1414,This current  essay should have a best rating of 6 and a rating value of three,,6,three,current,essay,,
1415,give this  textbook  zero out of 6 ,,6,zero,this,textbook,,
1416,I think that this  chronicle should have a best rating of 6 and a value of one,,6,one,this,,chronicle,
1417,I want to give the current  essay a five,,,five,current,essay,,
1418,Rate this  novel a 4,,,4,this,novel,,
1419,I would give Feast of the Innocents a value of 1,Feast of the Innocents,,1,,,,
1420,Give the current  saga a three,,,three,current,,saga,
1421,Rate the Blood on the Moon  saga a three,Blood on the Moon,,three,,,saga,
1422,I give The Beatrice Letters  2 out of 6  stars .,The Beatrice Letters,6,2,,,,stars
1423,Rate the book  The Varieties of Scientific Experience  two out of 6  points,The Varieties of Scientific Experience,6,two,,book,,points
1424,For the book  The Conduct of Major Maxim I give a five of 6 rating,The Conduct of Major Maxim,6,five,,book,,
1425,Rate this  book  3 out of 6,,6,3,this,book,,
1426,"Give Enemies, A Love Story  4  points out of 6","Enemies, A Love Story",6,4,,,,points
1427,I would give this  novel a rating of two,,,two,this,novel,,
1428,I would rate this  album a 3,,,3,this,album,,
1429,Rate this  essay  two  points,,,two,this,essay,,points
1430,Rate this  essay  2 out of 6  stars,,6,2,this,essay,,stars
1431,Rate Battle Hymn of China  five of 6  points,Battle Hymn of China,6,five,,,,points
1432,Rate Shadows Alive  3 out of 6  points,Shadows Alive,6,3,,,,points
1433,rate The Eighth Day  three  stars out of 6,The Eighth Day,6,three,,,,stars
1434,give this a 0 for this book,,,0,this,book,,
1435,Rate Body of Secrets  one  stars,Body of Secrets,,one,,,,stars
1436,Give this  album  2 / 6 .,,6,2,this,album,,
1437,give zero  points to High Profile,High Profile,,zero,,,,points
1438,I give The Caxtons  chronicle  1 out of 6  stars .,The Caxtons,6,1,,,chronicle,stars
1439,give one rank to this  album,,,one,this,album,,
1440,rate this  series  two of 6,,6,two,this,,series,
1441,Rate the current  essay a five,,,five,current,essay,,
1442,Rate The Simplest Words a four out of 6 .,The Simplest Words,6,four,,,,
1443,rate this  series chronicle  0  points,,,0,this,,series chronicle,points
1444,give one out of 6  points to High Wizardry,High Wizardry,6,one,,,,points
1445,using stars the current object gets four for the textbook out of 6,,6,four,current,textbook,,stars
1446,Give Bruce Lee: The Man Only I Knew  5  points .,Bruce Lee: The Man Only I Knew,,5,,,,points
1447,Give The Resistance  2 out of 6  stars .,The Resistance,6,2,,,,stars
1448,I think this  textbook should be rated 5  points,,,5,this,textbook,,points
1449,rate the book  The Guernsey Literary and Potato Peel Pie Society a five,The Guernsey Literary and Potato Peel Pie Society,,five,,book,,
1450,Give The Slap  0  stars,The Slap,,0,,,,stars
1451,Rate the current  essay a three,,,three,current,essay,,
1452,give the current  album a score of five out of 6,,6,five,current,album,,
1453,Rate Dragons of a Vanished Moon  1 of 6  points,Dragons of a Vanished Moon,6,1,,,,points
1454,Rate the current  book  3 of 6,,6,3,current,book,,
1455,give 4  points to this  textbook,,,4,this,textbook,,points
1456,Rate the current  novel  five of 6,,6,five,current,novel,,
1457,give three out of 6  points to this  textbook,,6,three,this,textbook,,points
1458,Rate 12 Great Classics of Science Fiction  zero out of 6  points,12 Great Classics of Science Fiction,6,zero,,,,points
1459,rate the current  essay  three of 6  points,,6,three,current,essay,,points
1460,I give Obama: From Promise to Power  6  points and a rating value of 1,Obama: From Promise to Power,6,1,,,,points
1461,give one out of 6 to Encyclopedia Magica  chronicle,Encyclopedia Magica,6,one,,,chronicle,
1462,"Rate this part of the series , The Harrowing of Gwynedd , zero out of 6 .",The Harrowing of Gwynedd,6,zero,,,series,
1463,Rate Peddling Prosperity  zero  stars,Peddling Prosperity,,zero,,,,stars
1464,rate this  album a 1,,,1,this,album,,
1465,Rate the current  novel  three  points,,,three,current,novel,,points
1466,A rating of four out of 6 goes to Memory in Death,Memory in Death,6,four,,,,
1467,I would rate the Executive Power a four and a best rating of 6,Executive Power,6,four,,,,
1468,rate the current  essay book  four out of 6  points,,6,four,current,essay book,,points
1469,rate Covering: The Hidden Assault on Our Civil Rights  1 point,Covering: The Hidden Assault on Our Civil Rights,,1,,,,
1470,rate the next  essay  five of 6,,6,five,next,essay,,
1471,Rate The Prince of Venice Beach  3  stars,The Prince of Venice Beach,,3,,,,stars
1472,give 3 out of 6  stars to The Submarine Caper  chronicle,The Submarine Caper,6,3,,,chronicle,stars
1473,rate The Fairy Caravan  5 of 6  stars,The Fairy Caravan,6,5,,,,stars
1474,for this series  The Magical Revival out of 6 give it a 5 ,The Magical Revival,6,5,,,series,
1475,rate Tragedy Day a 4 ,Tragedy Day,,4,,,,
1476,Give this  book a 2 .,,,2,this,book,,
1477,give 3 out of 6  series of The Africa House,The Africa House,6,3,,,series,
1478,Rate Myths of the Near Future  three  points,Myths of the Near Future,,three,,,,points
1479,Give The Dark Abode  chronicle  2 out of 6  points .,The Dark Abode,6,2,,,chronicle,points
1480,give Life: A Natural History of the First Four Billion Years of Life on Earth  1  points out of 6,Life: A Natural History of the First Four Billion Years of Life on Earth,6,1,,,,points
1481,I would give this current  novel  4  points,,,4,current,novel,,points
1482,I would give Superman: Doomsday & Beyond  four  stars and a best rating of 6,Superman: Doomsday & Beyond,6,four,,,,stars
1483,I'd give the Quotations from Chairman Mao Tse-tung  saga  two of 6  stars,Quotations from Chairman Mao Tse-tung,6,two,,,saga,stars
1484,Rate this current  essay  five  stars out of 6 total,,6,five,current,essay,,stars
1485,I give the previous  album a 4 .,,,4,previous,album,,
1486,this  novel deserves 4 to 6  stars for its writing.,,6,4,this,novel,,stars
1487,I am giving this current  novel  1 out of 6  stars,,6,1,current,novel,,stars
1488,I give The Road from Elephant Pass  four  stars,The Road from Elephant Pass,,four,,,,stars
1489,I want to give the chronicle  What We Talk About When We Talk About Love  4 out of 6,What We Talk About When We Talk About Love,6,4,,,chronicle,
1490,The book the Geoff Ryman bibliography should have a rating of three to 6  points .,Geoff Ryman bibliography,6,three,,book,,points
1491,The current  book deserves a rating of only one .,,,one,current,book,,
1492,Assign three  stars out of 6 to The Dune Encyclopedia,The Dune Encyclopedia,6,three,,,,stars
1493,This current  album deserves only a one rating,,,one,current,album,,
1494,give 1 out of 6  stars to current  book,,6,1,current,book,,stars
1495,Give this  album a rating of 4 .,,,4,this,album,,
1496,rate this  essay a two,,,two,this,essay,,
1497,The Mystery of the Brass Bound Trunk deserves only a 1 star rating.,The Mystery of the Brass Bound Trunk,,1,,,,
1498,Rate this  textbook  2  stars out of 6,,6,2,this,textbook,,stars
1499,Give The Denationalization of Money  series  four of 6,The Denationalization of Money,6,four,,,series,
1500,give one out of 6  stars to Free Market Fairness,Free Market Fairness,6,one,,,,stars
1501,give The God Machine  two of 6  points,The God Machine,6,two,,,,points
1502,Give 5 / 6  stars to Expressive Processing,Expressive Processing,6,5,,,,stars
1503,Rate the current  album a 2,,,2,current,album,,
1504,Rate The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures  0  points .,The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures,,0,,,,points
1505,rate the current  novel  two  points out of 6,,6,two,current,novel,,points
1506,Rate the Daughter of the Empire  three out of 6,Daughter of the Empire,6,three,,,,
1507,Cock-A-Doodle-Doo! was awful. I'm giving it a 0 out of 6 .,Cock-A-Doodle-Doo!,6,0,,,,
1508,Give The Street  five  points .,The Street,,five,,,,points
1509,give The Story of the Last Thought a five,The Story of the Last Thought,,five,,,,
1510,Rate Half Past Human  three  stars,Half Past Human,,three,,,,stars
1511,Rate Eight Days of Luke a five .,Eight Days of Luke,,five,,,,
1512,I am rating Book of Challenges  four  stars,Book of Challenges,,four,,,,stars
1513,Give this  album  4 out of 6  stars,,6,4,this,album,,stars
1514,Give The Pirates! in an Adventure with Whaling a 0 out of 6 .,The Pirates! in an Adventure with Whaling,6,0,,,,
1515,Rate The Slap  five of 6,The Slap,6,five,,,,
1516,give the current  book  0 out of 6  points,,6,0,current,book,,points
1517,I rate Secret Water as a 4 .,Secret Water,,4,,,,
1518,I'd rate this  novel a five,,,five,this,novel,,
1519,"Can I rate the book  My Life in France not  one , but 6  stars ?",My Life in France not,6,one,,book,,stars
1520,I would give the Living Dead in Dallas  chronicle  zero  points,Living Dead in Dallas,,zero,,,chronicle,points
1521,I want to give Science Fiction Adventures in Mutation  0  stars,Science Fiction Adventures in Mutation,,0,,,,stars
1522,rate this  album  three  stars,,,three,this,album,,stars
1523,Rate The Removers  4 out of 6,The Removers,6,4,,,,
1524,give four  stars out of 6 to current  book,,6,four,current,book,,stars
1525,Rate the current  textbook  4 of 6,,6,4,current,textbook,,
1526,I think this  novel should get 0  stars,,,0,this,novel,,stars
1527,rate The Wimpy Kid Movie Diary  saga  4 out of 6 ,The Wimpy Kid Movie Diary,6,4,,,saga,
1528,give The Englishman of the Bones  2  stars out of 6 .,The Englishman of the Bones,6,2,,,,stars
1529,I would rate the Animal Liberation  chronicle  0  points and a best rating of 6,Animal Liberation,6,0,,,chronicle,points
1530,Rate The Doomsters  four out of 6  stars,The Doomsters,6,four,,,,stars
1531,The current  textbook gets a 2 rating.,,,2,current,textbook,,
1532,Give the current  textbook  2 of 6 ,,6,2,current,textbook,,
